# x_path held_b1_THz held_b2_THz held_b3_THz
7.5243241143 10.3677971967 10.3677971967 21.1745326668
7.5545541037 10.2991285060 10.2991285060 21.3811248137
7.5847840932 10.2296485392 10.2296485392 21.5721170323
7.6150140826 10.1606797585 10.1606797585 21.7472831710
7.6452440720 10.0935252958 10.0935252958 21.9064142909
7.6754740614 10.0294510770 10.0294510770 22.0493193162
7.7057040508 9.9696665937 9.9696665937 22.1758256309
7.7359340402 9.9153047333 9.9153047333 22.2857796203
7.7661640296 9.8674012222 9.8674012222 22.3790471542
7.7963940190 9.8268743690 9.8268743690 22.4555140103
7.8266240084 9.7945058936 9.7945058936 22.5150862358
7.8568539978 9.7709236861 9.7709236861 22.5576904448
7.8870839872 9.7565873292 9.7565873292 22.5832740514
7.9173139766 9.7517771391 9.7517771391 22.5918054371
