b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, 
-29.178918109232743, -3.907570911756853, 4.867362692310264, 2.7794015192951282, 0.2640413150641712, -0.39692663584507665, 4.075481940038647, -6.995844037155598, -0.2724820197480509, 23.621861103647387, 1.2175054096567304, -0.7759022934779783, -0.6949505890352152, -5.422359175706449, 1.691151890613284, 3.0619414113226684, 
-29.57811932283626, -4.12562292852112, 4.625941066631, 2.6218766748725586, 0.4696503525311579, -0.2769503857390001, 4.39157952134649, -7.091859651228886, -0.9210786179760815, 23.7827630859646, 1.0942293582301892, -1.0386624818256835, -0.9676731540417741, -5.066917444971193, 1.2758084002758572, 3.2118300503819315, 
-29.911682581285323, -4.167517057731771, 4.157087751262094, 2.3088258367622143, 0.8112593658075268, -0.2899797382486974, 4.817817972002045, -7.094372513261601, -1.7463467976920493, 24.466928791848915, 0.6969932777400243, -1.3141422840958044, -1.4046788291211079, -4.48617533960993, 0.9179954807760975, 3.591583369332993, 
-30.46288841028633, -4.173607945885784, 3.819166918878067, 2.183970884238642, 0.9729228797306742, 0.15340830056277122, 4.8687867587943, -7.31646545161143, -2.2872844889819754, 24.704877548300516, 0.6484312519598553, -1.279742238155752, -1.3466585969536597, -4.175162307244306, 0.7846260667485809, 3.3710658425289144, 
-30.733489400626766, -3.8929722629619214, 3.263254103886313, 1.8304115604852451, 1.3132774533734521, 0.4501461732670277, 5.019391683174183, -7.409340478523007, -2.9283683538636036, 25.527075229968812, 0.3298477853477686, -1.2199446386118378, -1.4428175970861785, -3.663557945280348, 0.8370900323075918, 3.3627367308536034, 
-31.12050692227782, -3.663497746285462, 2.9751933115226143, 1.6982338835480602, 1.3668697293681047, 1.1021116197894565, 4.877467297112551, -7.70007934038891, -3.2316638755911318, 25.740801550531216, 0.3503460332908876, -0.9150274927736076, -1.1761996684512832, -3.4749912081522165, 1.0436936551775415, 2.8531121266687496, 
-31.093833741895416, -3.106239040401734, 2.433524285487398, 1.2623808713341422, 1.654190621471159, 1.64890246865535, 4.784526929163539, -7.861880043999396, -3.6327943627252384, 26.492095454551983, 0.17671613708990708, -0.5480074724909977, -1.0225031168029621, -3.108088668816885, 1.4970118294518053, 2.505564179805192, 
-31.131936970786125, -2.7128235425969622, 2.1922988889483386, 1.042439879856351, 1.5947546419626615, 2.394444624802992, 4.541419469000364, -8.174102229254052, -3.812999205918405, 26.618028089600493, 0.30306808219898734, -0.03556468918204377, -0.6946342525766631, -3.0246597920609974, 1.9986904989061371, 1.855458060310065, 
-30.678420139406338, -1.999225929597182, 1.6939656790889623, 0.4610863594462247, 1.8543143004975837, 3.0114452946461756, 4.309397217263252, -8.31504919156969, -4.083497349115984, 27.23491149019529, 0.25761447722059067, 0.5205584974689181, -0.4102232899214361, -2.7551967482406345, 2.7292049645564025, 1.355251808111457, 
-30.245523392288984, -1.4963479015555812, 1.4366447590316316, 0.061408883757169276, 1.8020191768582932, 3.646045412334327, 4.066468943675044, -8.522013161332863, -4.280652914679695, 27.40373802923919, 0.420261049414487, 1.1087070249417996, -0.09825690158979927, -2.670386830881992, 3.411556450023088, 0.7630186967092111, 
