# x_path held_b1_THz held_b2_THz held_b3_THz
9.7540334211 10.1895191124 10.1964506473 10.1964506473
9.7895981252 10.2549763131 10.2549763131 10.2919302764
9.8251628292 10.3160613003 10.3160613003 10.3812503316
9.8607275333 10.3781190261 10.3781190261 10.4584556418
9.8962922374 10.4395987219 10.4395987219 10.5245360473
9.9318569414 10.4990159656 10.4990159656 10.5804735811
9.9674216455 10.5549794101 10.5549794101 10.6272209859
10.0029863495 10.6062136960 10.6062136960 10.6656804400
10.0385510536 10.6515787003 10.6515787003 10.6966829680
10.0741157576 10.6900853712 10.6900853712 10.7209690576
10.1096804617 10.7209084501 10.7209084501 10.7391710332
10.1452451658 10.7433963853 10.7433963853 10.7517977255
10.1808098698 10.7570787202 10.7570787202 10.7592219449
10.2163745739 10.7616711925 10.7616711925 10.7616711925
