iteration,time_ps,negative_q_branch_count,negative_qpoint_count,branch_1_count,branch_2_count,branch_3_count,path_integral_negative_indicator,path_integrated_negative_fraction,path_integral_absolute_imaginary_frequency_THz
150,0.1500000060,12,12,12,0,0,0.4335763858,0.0139245889,0.7560754038
151,0.1509999931,13,13,13,0,0,0.4697077512,0.0150849713,0.8283822851
152,0.1519999951,13,13,13,0,0,0.4697077512,0.0150849713,0.7815860633
153,0.1529999971,14,14,14,0,0,0.5058391167,0.0162453537,0.8201050984
154,0.1539999992,12,12,12,0,0,0.4335763858,0.0139245889,0.6501163841
155,0.1550000012,11,11,11,0,0,0.3974450203,0.0127642065,0.5669626979
156,0.1560000032,8,8,8,0,0,0.2890509238,0.0092830593,0.2819661971
157,0.1570000052,5,5,5,0,0,0.1806568274,0.0058019121,0.1038381390
158,0.1580000073,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
159,0.1589999944,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
160,0.1599999964,19,19,19,0,0,0.5605215912,0.0180015171,0.1058109965
161,0.1609999985,21,21,21,0,0,0.6195238639,0.0198964137,0.1381956962
162,0.1620000005,31,31,31,0,0,0.9145352277,0.0293708964,0.4075922828
163,0.1630000025,32,32,32,0,0,0.9440363641,0.0303183447,0.4386836717
164,0.1640000045,40,40,40,0,0,1.1800454551,0.0378979308,0.7586607784
165,0.1650000066,43,43,43,0,0,1.2685488643,0.0407402756,0.8620081239
166,0.1659999937,52,52,52,0,0,1.5340590917,0.0492673101,1.2326094614
167,0.1669999957,61,61,61,0,0,1.7995693191,0.0577943445,1.4185001041
168,0.1679999977,64,64,64,0,0,1.8880727282,0.0606366893,1.8362717777
169,0.1689999998,64,64,64,0,0,1.8880727282,0.0606366893,1.9784662660
170,0.1700000018,65,65,65,0,0,1.9175738646,0.0615841376,2.2129046678
171,0.1710000038,65,65,65,0,0,1.9175738646,0.0615841376,2.2438597771
172,0.1720000058,66,66,66,0,0,1.9470750010,0.0625315859,2.4156566180
173,0.1729999930,66,66,66,0,0,1.9470750010,0.0625315859,2.4179889228
174,0.1739999950,66,66,66,0,0,1.9470750010,0.0625315859,2.5415664288
175,0.1749999970,66,66,66,0,0,1.9470750010,0.0625315859,2.5360320881
176,0.1759999990,66,66,66,0,0,1.9470750010,0.0625315859,2.6262418116
177,0.1770000011,66,66,66,0,0,1.9470750010,0.0625315859,2.5788717185
178,0.1780000031,66,66,66,0,0,1.9470750010,0.0625315859,2.6510055255
179,0.1790000051,65,65,65,0,0,1.9175738646,0.0615841376,2.6145701553
180,0.1800000072,65,65,65,0,0,1.9175738646,0.0615841376,2.6392203842
181,0.1809999943,65,65,65,0,0,1.9175738646,0.0615841376,2.5750237141
182,0.1819999963,65,65,65,0,0,1.9175738646,0.0615841376,2.5688833116
183,0.1829999983,65,65,65,0,0,1.9175738646,0.0615841376,2.4930886212
184,0.1840000004,71,68,68,3,0,2.1343620575,0.0685464320,2.4759231283
185,0.1850000024,73,69,69,4,0,2.2066247884,0.0708671969,2.3988212576
186,0.1860000044,76,70,70,6,0,2.3216491140,0.0745612782,2.3776068558
187,0.1870000064,78,71,71,7,0,2.3939118449,0.0768820431,2.2997161403
188,0.1879999936,80,72,72,8,0,2.4661745759,0.0792028079,2.2887319207
189,0.1889999956,80,72,72,8,0,2.4661745759,0.0792028079,2.2034525123
190,0.1899999976,82,73,73,9,0,2.5384373068,0.0815235727,2.1776068552
191,0.1909999996,82,73,73,9,0,2.5384373068,0.0815235727,2.0807182324
192,0.1920000017,84,74,74,10,0,2.6107000378,0.0838443375,2.0484813728
193,0.1930000037,83,73,73,10,0,2.5811989014,0.0828968893,1.9373241918
194,0.1940000057,83,73,73,10,0,2.5811989014,0.0828968893,1.8758974662
195,0.1949999928,81,72,72,9,0,2.5089361705,0.0805761244,1.7560646209
196,0.1959999949,81,72,72,9,0,2.5089361705,0.0805761244,1.6607750554
197,0.1969999969,79,71,71,8,0,2.4366734395,0.0782553596,1.5199975194
198,0.1979999989,73,68,68,5,0,2.2198852466,0.0712930651,1.3943554863
199,0.1990000010,62,62,62,0,0,1.8290704554,0.0587417928,1.2410485735
200,0.2000000030,62,62,62,0,0,1.8290704554,0.0587417928,1.1360674440
201,0.2010000050,56,56,56,0,0,1.6520636372,0.0530571032,0.9096406206
202,0.2020000070,48,48,48,0,0,1.4160545462,0.0454775170,0.7463241516
203,0.2029999942,42,42,42,0,0,1.2390477279,0.0397928274,0.6110534284
204,0.2039999962,39,39,39,0,0,1.1505443188,0.0369504826,0.5537221225
205,0.2049999982,36,36,36,0,0,1.0620409096,0.0341081377,0.5019476448
206,0.2060000002,46,46,46,0,0,1.3570522734,0.0435826204,0.7437668859
207,0.2070000023,47,47,47,0,0,1.3865534098,0.0445300687,0.8198260095
208,0.2080000043,51,51,51,0,0,1.5045579553,0.0483198618,1.0936300092
209,0.2090000063,51,51,51,0,0,1.5045579553,0.0483198618,1.1174880678
210,0.2099999934,53,53,53,0,0,1.5635602280,0.0502147583,1.2693185802
211,0.2109999955,52,52,52,0,0,1.5406893208,0.0494802442,1.2446634567
212,0.2119999975,60,60,60,0,0,1.8098495573,0.0581245011,1.5113230652
213,0.2129999995,60,60,60,0,0,1.8098495573,0.0581245011,1.5309231156
214,0.2140000015,62,62,62,0,0,1.8754820592,0.0602323318,1.6895001827
215,0.2150000036,62,62,62,0,0,1.8754820592,0.0602323318,1.6905171171
216,0.2160000056,66,66,66,0,0,1.9934866047,0.0640221248,1.7723913003
217,0.2169999927,68,68,68,0,0,2.0524888774,0.0659170214,1.7756862793
218,0.2179999948,77,77,77,0,0,2.3246293339,0.0746569900,1.8640005353
219,0.2189999968,88,76,76,12,0,2.6491418341,0.0850789209,1.9628001160
