q_index,x_path,negative_frame_count,negative_frame_fraction,mean_negative_frequency_THz,minimum_frequency_THz
110,3.9783112492,44,0.1102756892,-4.0967850627,-10.5416302004
111,4.0078123856,58,0.1453634085,-3.4474132685,-10.7994283150
112,4.0373135220,68,0.1704260652,-3.2959492561,-11.0293324420
113,4.0668146583,82,0.2055137845,-3.0300053120,-11.2316836178
114,4.0963157947,99,0.2481203008,-2.7663622335,-11.4067265122
115,4.1258169311,112,0.2807017544,-2.6799934104,-11.5546343514
116,4.1553180675,124,0.3107769424,-2.6006622649,-11.6755276968
117,4.1848192038,142,0.3558897243,-2.4200717213,-11.7694885713
118,4.2143203402,151,0.3784461153,-2.3961717098,-11.8365709567
119,4.2438214766,155,0.3884711779,-2.3991178953,-11.8768083595
120,4.2733226130,156,0.3909774436,-2.4055087556,-11.8902189190
121,4.3028237494,156,0.3909774436,-2.4004839256,-11.8850632351
122,4.3323248857,156,0.3909774436,-2.3843737879,-11.8696057940
123,4.3618260221,153,0.3834586466,-2.4022919378,-11.8438753921
124,4.3913271585,151,0.3784461153,-2.3989099746,-11.8079199048
125,4.4208282949,148,0.3709273183,-2.4025976945,-11.7618061096
126,4.4503294313,147,0.3684210526,-2.3659369161,-11.7056194376
127,4.4798305676,143,0.3583959900,-2.3558263606,-11.6394636571
128,4.5093317040,137,0.3433583960,-2.3797233717,-11.5634604877
129,4.5388328404,130,0.3258145363,-2.4156065859,-11.4777491466
130,4.5683339768,126,0.3157894737,-2.3985828129,-11.3824858297
131,4.5978351131,121,0.3032581454,-2.3846444929,-11.2778431277
132,4.6273362495,109,0.2731829574,-2.5326000720,-11.1640093786
133,4.6568373859,104,0.2606516291,-2.5874025909,-11.0411879607
134,4.6863385223,100,0.2506265664,-2.6228685966,-10.9095965262
135,4.7158396587,94,0.2355889724,-2.7221147701,-10.7694661781
136,4.7453407950,93,0.2330827068,-2.7089630707,-10.6210405951
137,4.7748419314,93,0.2330827068,-2.6675105514,-10.4645751041
138,4.8043430678,94,0.2355889724,-2.6012720473,-10.3003357064
139,4.8338442042,93,0.2330827068,-2.5928740242,-10.1285980594
140,4.8633453405,94,0.2355889724,-2.5290392471,-9.9496464178
141,4.8928464769,96,0.2406015038,-2.4500771863,-9.7637725386
142,4.9223476133,96,0.2406015038,-2.4163280914,-9.5712745535
143,4.9518487497,99,0.2481203008,-2.3230358683,-9.3724558132
144,4.9813498861,103,0.2581453634,-2.2355408688,-9.1676237097
145,5.0108510224,106,0.2656641604,-2.1881257455,-8.9570884789
146,5.0403521588,110,0.2756892231,-2.1215113970,-8.7411619920
147,5.0698532952,124,0.3107769424,-1.9107722125,-8.5201565389
148,5.0993544316,130,0.3258145363,-1.8592999529,-8.2943836107
149,5.1288555680,138,0.3458646617,-1.7876346264,-8.0641526872
150,5.1583567043,142,0.3558897243,-1.7615268441,-7.8297700359
151,5.1878578407,150,0.3759398496,-1.7015589618,-7.5915375297
152,5.2173589771,155,0.3884711779,-1.6720723217,-7.3497514890
153,5.2468601135,157,0.3934837093,-1.6634480294,-7.1047015577
154,5.2763612498,162,0.4060150376,-1.6191702579,-6.8566696179
155,5.3058623862,164,0.4110275689,-1.6031072957,-6.6059287535
156,5.3353635226,168,0.4210526316,-1.5610083368,-6.3527422683
157,5.3648646590,170,0.4260651629,-1.5325156762,-6.0973627683
158,5.3943657954,173,0.4335839599,-1.4903030582,-5.8400313143
159,5.4238669317,176,0.4411027569,-1.4458015122,-5.5809766538
160,5.4533680681,178,0.4461152882,-1.4035172907,-5.3204145392
161,5.4828692045,184,0.4611528822,-1.3312592250,-5.0585471400
162,5.5123703409,189,0.4736842105,-1.2643136234,-4.7955625554
163,5.5418714772,191,0.4786967419,-1.2144750404,-4.5316344346
164,5.5713726136,194,0.4862155388,-1.1545341083,-4.2669217092
165,5.6008737500,199,0.4987468672,-1.0819740353,-4.0015684455
166,5.6303748864,202,0.5062656642,-1.0190406880,-3.7357038176
167,5.6598760228,205,0.5137844612,-0.9532279489,-3.4694422073
168,5.6893771591,204,0.5112781955,-0.9004804103,-3.2028834320
169,5.7188782955,205,0.5137844612,-0.8358605117,-2.9361131013
170,5.7483794319,205,0.5137844612,-0.7712056308,-2.6692031020
171,5.7778805683,205,0.5137844612,-0.7031143079,-2.4022122106
172,5.8073817046,205,0.5137844612,-0.6320668667,-2.1351868285
173,5.8368828410,205,0.5137844612,-0.5584617881,-1.8681618364
174,5.8663839774,205,0.5137844612,-0.4826595427,-1.6011615612
175,5.8958851138,205,0.5137844612,-0.4049987420,-1.3342008464
176,5.9253862502,204,0.5112781955,-0.3273551601,-1.0672862192
