b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, b016, b017, b018, b019, b020, b021, 
-2.7224921265639557, 2.6824431642579656, -1.339517290216665, 1.638892129205421, -6.086121840930979, 25.836067649157915, -21.026473439711435, 8.721237776889641, -7.841176477325707, 1.706219699948516, 11.676094711858166, 2.1813869150439977, -4.830015861603859, 1.4028959189598889, -10.548311975481324, 13.155227720957706, -11.106773756071426, -1.1754396777851477, -16.508327300649892, 0.1024069792858107, 2.312120181616918, -7.09566016047149, 
-3.0253841854226646, 2.2378657708790444, -1.535949522411361, 2.3805162746315944, -6.091062357294171, 25.76734926454483, -20.91571551280487, 8.376516634492848, -7.538052796601634, 1.8139229214472805, 12.059341547746424, 1.7561523906336869, -4.791902182680426, 1.5307118079212476, -10.944928754989467, 13.139825728552196, -11.49544667641053, -1.7013817875564226, -17.02612490331277, -0.4182463410007191, 2.5612836526566105, -7.4949277692177985, 
-2.958417823379455, 1.91568339632108, -1.3776002414212682, 2.852790248676774, -6.465065468477738, 25.532551861908644, -21.031948306715762, 8.339949347780552, -7.4584933043813715, 1.582479782412544, 12.306732904137526, 1.5934237349578442, -4.7819092310235245, 1.5991254359103164, -11.159622907918616, 13.616823497866347, -11.463421227660298, -2.0863090246344314, -17.93194199434187, -0.6891593380495371, 2.3907102397395135, -7.676458480154851, 
-3.088230690824571, 1.5373527856398579, -1.2976100893801343, 3.5921315904290667, -6.697486508419442, 25.539784891550052, -20.93579123641711, 8.086328579501775, -7.194141641202687, 1.6048025568302924, 12.566505641648215, 1.2576870105873938, -4.769020323077515, 1.619622333775274, -11.794723511090401, 13.891869338445083, -11.3568400644068, -2.6122289510619794, -18.681025070754448, -1.1314555828047927, 2.2746362664019397, -7.9068173331164795, 
-3.053422223068258, 1.1967272063314014, -1.0782659975826911, 4.171715633150586, -7.087495596021744, 25.442812179032714, -20.932427281812245, 7.917347968703692, -7.066197589283548, 1.5011448058481982, 12.747473241975001, 1.0413401265434166, -4.737221283183403, 1.6234336745493176, -12.309832467471246, 14.314057281279082, -11.067340504944973, -3.064682590856077, -19.483533976395606, -1.4743416924283501, 2.010709005564833, -8.036200313766344, 
-3.0551963417843866, 0.9764022429883809, -0.7542429790396535, 4.734135775603842, -7.371500554452243, 25.529812527096098, -20.677942117384482, 7.6211903550517555, -6.843663753910297, 1.626089773948968, 12.82797600648303, 0.7449354353683731, -4.762931458588168, 1.5958501241090512, -13.03255305195334, 14.664399222869537, -10.615329083734496, -3.525025510506198, -20.213588055222083, -1.8136506248683517, 1.7777698499810604, -8.097591326305169, 
-2.824121137286983, 0.6677541721873231, -0.3908742294900923, 5.040331006246375, -7.907238597922476, 25.334823427490157, -20.797955543881567, 7.459858962173993, -6.946127806341455, 1.508227803537234, 12.918975846640341, 0.7114593600555764, -4.6700290372194715, 1.60201759877448, -13.26961653399369, 15.128591680829013, -10.262600987883365, -3.795986911599206, -20.94371111243361, -2.061788847594615, 1.5141436264617558, -8.11688280053733, 
-2.5994169279113613, 0.5149881421913278, 0.11672415912669452, 5.246366708298032, -8.312456557060859, 25.371965459943564, -20.66533928121871, 7.201055463155176, -6.968040199877038, 1.6459452368935805, 12.92520496208894, 0.6389316368494563, -4.6227522191295245, 1.576061508898552, -13.649313289579286, 15.525312294772096, -9.782266071253494, -4.012143523799859, -21.64517694494569, -2.263849459522406, 1.3591133910302902, -8.079795094522641, 
-2.25631963275383, 0.3525593578622675, 0.6216380363385705, 5.2648467066825635, -8.74965456356439, 25.259167683540714, -20.667139329656514, 6.938003489433245, -7.149174541269508, 1.7393133839879231, 12.91405962007773, 0.6800677583501803, -4.501331574937943, 1.5889897045842551, -13.688037218196705, 15.846881686475202, -9.424888625845712, -4.058919364527703, -22.266662034974487, -2.3893241199012065, 1.292562660339395, -8.009052355687404, 
-1.8540915595455703, 0.4191105388331351, 1.3578202663138181, 5.04624333617325, -9.072114589088573, 25.400388818767198, -20.377495054138798, 6.6532076446059705, -7.284709109746735, 2.062212212245899, 12.827284823148311, 0.7780687790820802, -4.451532379551762, 1.579063529581815, -13.875794014418307, 16.198431462513536, -8.89758465158247, -3.9842872381708725, -22.95938811428433, -2.392376013871287, 1.3936396198114078, -7.857174371594403, 
-1.363045925051434, 0.2937881974500063, 1.879413096670295, 4.799976496622378, -9.494429528491578, 25.273938799667008, -20.509747171302916, 6.339824617183405, -7.629645305031476, 2.21038767427194, 12.840024687692281, 1.0053504280611565, -4.240759382287194, 1.6152421612599035, -13.526960320335846, 16.351904867772873, -8.750686557934522, -3.7426849262313273, -23.49065259291914, -2.398223917189484, 1.5663481509729396, -7.751812556556401, 
-0.8240243812199077, 0.41589616124362017, 2.6241051053039652, 4.293549393490497, -9.76666042760419, 25.39331403930274, -20.250584519583043, 6.037797457704674, -7.865345892244362, 2.572701509709452, 12.7591311894596, 1.287597925375043, -4.139112285736748, 1.6462721786643995, -13.41704019253663, 16.581782593066002, -8.346940307688053, -3.4449947612188674, -24.114751048524187, -2.262349712999438, 1.9012162232637795, -7.539984441488336, 
-0.28582279982957337, 0.43674898049186867, 3.2048711491156876, 3.791536875085463, -10.052639243974028, 25.39897546884402, -20.196242260514254, 5.7206146532399735, -8.151831821629834, 2.860475746398512, 12.776383364206099, 1.6128930883460704, -3.9669758539699083, 1.6964881731073418, -13.068132804493416, 16.644167022376156, -8.15253310611706, -3.0552178603837947, -24.650818505566146, -2.113831290921407, 2.287824462849768, -7.41162087533252, 
0.29624909142899375, 0.6062348777512192, 3.9487780974290243, 3.059757062154125, -10.21053712363033, 25.54439713232226, -19.776140852633628, 5.454929919931233, -8.344960975559548, 3.222201601336768, 12.706477784484603, 2.053802021637156, -3.8975900554669036, 1.7580436659126466, -12.943963866575944, 16.77809629697982, -7.693520050307524, -2.6901030378517707, -25.297317994912394, -1.8639002403624163, 2.8227928377189317, -7.1928599795844566, 
0.7922736198178008, 0.49073528898314683, 4.291711500538787, 2.513068605886588, -10.442882974322986, 25.469027481600364, -19.83237925478973, 5.1388829846759965, -8.591989347110038, 3.4464173378178327, 12.844171925598905, 2.376996067242088, -3.668742760688042, 1.8070039063321268, -12.454199339592124, 16.581863568471416, -7.622048546537024, -2.1801321714943582, -25.659527489707607, -1.683951110282155, 3.2569840338433966, -7.204164285313081, 
1.2979073573757771, 0.5551762797773823, 4.877608470542903, 1.7071533584463818, -10.497035847320541, 25.635817377202663, -19.367521529098624, 4.945569467190558, -8.692913489404335, 3.673877262099968, 12.8135877844692, 2.8941708760406395, -3.6047893278974024, 1.8639219350305667, -12.384614993272185, 16.609603081851013, -7.171367727639938, -1.8712299001428336, -26.23954684425142, -1.437884222865021, 3.8945356710953924, -7.083663537814078, 
1.6849926926734822, 0.3936936614269142, 5.169116264808058, 1.0269517973399835, -10.571332703775791, 25.665782682611603, -19.19272701971245, 4.708902334739668, -8.736734812910212, 3.798636570086701, 12.91241343881264, 3.265302268845512, -3.450681834817434, 1.885801161767392, -12.118040324079436, 16.37109748231449, -6.957130430614962, -1.4525529014661793, -26.5567774676721, -1.2749300480672117, 4.394113603251057, -7.178634749918871, 
