# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
4.1549739643 0.0082472664 0.0285357160 0.2400123387 0.6484917351 2.1798436083 18.8724373291
4.1702838697 0.0164931194 0.0570665425 0.4681603420 0.6646982582 2.1792833349 18.8675869233
4.1855937751 0.0247361459 0.0855875909 0.5986957060 0.7792129362 2.1783496524 18.8595038372
4.2009036805 0.0329749333 0.1140939744 0.6187721749 1.0044371992 2.1770427210 18.8481894561
4.2162135858 0.0412080696 0.1425808085 0.6232166449 1.2453104242 2.1753627644 18.8336457190
4.2315234912 0.0494341440 0.1710432120 0.6246511628 1.4890657938 2.1733100707 18.8158751182
4.2468333966 0.0576517466 0.1994763082 0.6250086119 1.7336684298 2.1708849915 18.7948806992
4.2621433020 0.0658594691 0.2278752252 0.6248308896 1.9784970979 2.1680879423 18.7706660600
4.2774532073 0.0740559050 0.2562350969 0.6243243604 2.1649194024 2.2232790274 18.7432353502
4.2927631127 0.0822396496 0.2845510640 0.6235832869 2.1613799147 2.4678613847 18.7125932709
4.3080730181 0.0904093004 0.3128182748 0.6226562994 2.1574700857 2.7121419561 18.6787450733
4.3233829235 0.0985634572 0.3410318858 0.6215708019 2.1531905853 2.9560430696 18.6416965581
4.3386928289 0.1067007227 0.3691870627 0.6203433219 2.1485421468 3.1995002171 18.6014540747
4.3540027342 0.1148197023 0.3972789813 0.6189843898 2.1435255666 3.4424565225 18.5580245194
4.3693126396 0.1229190045 0.4253028282 0.6175010329 2.1381417044 3.6848598197 18.5114153352
4.3846225450 0.1309972413 0.4532538017 0.6158981352 2.1323914826 3.9266610049 18.4616345098
4.3999324504 0.1390530282 0.4811271124 0.6141792192 2.1262758865 4.1678130583 18.4086905744
