# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
2.3767235164 6.7194401906 7.2518156772 10.8211156521 12.6194716220 14.2120771425 15.8502328692
2.4020107056 6.8184566238 7.2743138391 10.7728156601 12.6504439313 14.1666972128 15.8495569703
2.4272978949 6.9275134873 7.3021497982 10.7220985278 12.6907803951 14.1229689110 15.8460830347
2.4525850841 7.0452655033 7.3352113995 10.6690794683 12.7401808138 14.0812720068 15.8398183310
2.4778722734 7.1703211515 7.3733744555 10.6139484223 12.7982416927 14.0420204609 15.8307712506
2.5031594626 7.3012593813 7.4165039052 10.5569504088 12.8644779713 14.0056653715 15.8189513093
2.5284466519 7.4366433524 7.4644550295 10.4983678700 12.9383418462 13.9726983536 15.8043691477
2.5537338411 7.5170746942 7.5750316020 10.4385065077 13.0192362797 13.9436559072 15.7870365317
2.5790210303 7.5742025999 7.7149872854 10.3776850999 13.1065209267 13.9191261519 15.7669663523
2.6043082196 7.6356725136 7.8550862841 10.3162291408 13.1995068215 13.8997612938 15.7441726256
2.6295954088 7.7013134656 7.9939250178 10.2544678738 13.2974314359 13.8863042132 15.7186704914
2.6548825981 7.7709508941 8.1301287192 10.1927342634 13.3993921986 13.8796511801 15.6904762128
2.6801697873 7.8444077237 8.2623607042 10.1313676030 13.5041764399 13.8810128826 15.6596071750
2.7054569766 7.9215053685 8.3893327565 10.0707186984 13.6097991656 13.8923626382 15.6260818838
2.7307441658 8.0020646529 8.5098161340 10.0111578643 13.7122066959 13.9177142953 15.5899199640
2.7560313551 8.0859066449 8.6226519125 9.9530862669 13.8028404976 13.9655364808 15.5511421581
2.7813185443 8.1728534001 8.7267585640 9.8969513546 13.8731865689 14.0441793894 15.5097703245
2.8066057336 8.2627286177 8.8211342359 9.8432669243 13.9301076963 14.1465189289 15.4658274360
2.8318929228 8.3553582088 8.9048521163 9.7926370010 13.9856066018 14.2601727583 15.4193375783
2.8571801120 8.4505707828 8.9770515440 9.7457783340 14.0455057746 14.3788050546 15.3703259486
2.8824673013 8.5481980536 9.0369386122 9.7035256108 14.1118797767 14.4996864331 15.3188188543
2.9077544905 8.6480751740 9.0838307458 9.6667836252 14.1853250427 14.6214253396 15.2648437125
2.9330416798 8.7500410020 9.1173008759 9.6363706957 14.2657887575 14.7431494465 15.2084290488
2.9583288690 8.8539383056 9.1374534493 9.6127222595 14.3528751181 14.8642176134 15.1496044975
2.9780177889 8.7191080008 9.0150955150 9.5000308915 14.2355235415 14.7333333330 15.2557613545
2.9977067087 8.5835173014 8.8909939140 9.3855116361 14.1127281482 14.5976017315 15.3612270580
3.0173956285 8.4471872442 8.7652116939 9.2691677542 13.9845200881 14.4570320475 15.4659498246
3.0370845484 8.3101386519 8.6378059718 9.1510080598 13.8509336447 14.3116376428 15.5698784222
3.0567734682 8.1723921221 8.5088288217 9.0310461243 13.7120061782 14.1614359221 15.6729621902
